id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
194	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	FALSE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
217	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	FALSE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
220	6.29	0.00	6.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.29	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	FALSE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
223	12.59	0.00	0.00	0.00	6.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.59	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
224	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
225	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
226	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
227	6.29	0.00	0.00	0.00	0.00	6.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.29	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
228	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"SAMUEL JEAKE JR", "ELIZABETH JEAKE"	TRUE	FALSE	TRUE	FALSE	MALE-FEMALE	FAMILY
